,Unnamed: 0.1,Unnamed: 0,filename,null_gamma,null_gamma_recalculated,complete_gamma,gamma,choices,candidates,level,partisan,type,irv_winner,condorcet_winner,plurality_winner,approval_winner,median_voter_preference,median_voter_preference_position,median_voter_position,irv_median_voter_distance,condorcet_median_voter_distance,median_voter_preference_distance,bimodality,partisan2,diff,linearvotersfailure,mirror
245,227,198,Burlington_03072023_CityCouncilSouthDistrict.csv,0.8653,0.5829,0.71408046,0.88161808,4,3,LOCAL,YES,R,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,FARIED MUNARSYAH,0.467753631,0.443535773,0.556464227,0.556464227,0,5.517006792,1,[],no,
265,336,154,Alaska_11052024_StateHouseD1.csv,0.8747,0.6243,0.729555237,0.953815999,4,3,STATE,YES,R,"Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Moran, Agnes C.",0.653664635,0.443535773,0.443535773,0.443535773,,5.470375685,,,,
271,257,170,Alaska_11082022_HouseDistrict27.csv,0.868231768,0.612187812,0.733852497,0.8960644,4,3,STATE,YES,R,"Eastman, David","Eastman, David","Eastman, David","Eastman, David","Carpenter, Brendan R.",0.475729566,0.443535773,0.556464227,0.556464227,0.52427042,4.527244967,1,[],no,
284,350,159,Alaska_11052024_StateHouseD6.csv,0.8726,0.5379,0.745176849,0.972234387,4,3,STATE,YES,R,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Slaughter, Dawson R.",0.648721405,0.443535773,0.556464227,0.556464227,,7.137196865,,,,
300,343,156,Alaska_11052024_StateHouseD19.csv,0.9026,0.5384,0.773972603,0.962251201,4,3,STATE,YES,R,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Wyatt, Russell O.",0.345389394,0.443535773,0.443535773,0.443535773,,8.228238588,,,,
302,322,176,Alaska_11082022_SenateDistrictC.csv,0.8709,0.5605,0.776645312,0.94512415,4,3,STATE,YES,S,"Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Smith, Heath",0.452846383,0.443535773,0.556464227,0.556464227,0,4.226637199,1,[],no,
307,340,167,Alaska_11082022_HouseDistrict15.csv,0.8675,0.571,0.782491582,0.95557082,4,3,STATE,YES,R,"McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""","Wells, Denny","McKay, Thomas W. ""Tom""","Eibeck, David",0.603105463,0.443535773,0.556464227,0.556464227,0.39689454,6.276875527,1,[],no,
316,330,179,Alaska_11082022_SenateDistrictJ.csv,0.8879,0.5874,0.796033994,0.9500578,4,3,STATE,YES,S,"Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Tarr, Geran",0.600236906,0.443535773,0.556464227,0.556464227,0,6.017303744,1,[],no,YES
322,342,169,Alaska_11082022_HouseDistrict24.csv,0.8722,0.619,0.80137931,0.96160001,4,3,STATE,YES,R,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Jackson, Sharon",0.632392154,0.443535773,0.556464227,0.556464227,0,4.987805003,1,[],no,
338,338,209,Maine_11082022_CongressionalDistrict2.csv,0.8894,0.5444,0.821560878,0.95457411,4,3,FEDERAL,YES,R,"Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest","Bond, Tiffany",0.559837006,0.443535773,0.556464227,0.556464227,0.44016299,7.473243675,1,[],no,YES
345,351,171,Alaska_11082022_HouseDistrict30.csv,0.874425574,0.5999001,0.843137255,0.97451556,4,3,STATE,YES,R,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.",0.683737904,0.443535773,0.24020213,0.24020213,0,4.387734331,1,[],no,
351,317,177,Alaska_11082022_SenateDistrictD.csv,0.8818,0.5521,0.863953062,0.94079727,4,3,STATE,YES,S,"Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Babcock, Tuckerman",0.673989274,0.443535773,0.556464227,0.556464227,0.32601073,4.122344402,1,[],no,
354,352,178,Alaska_11082022_SenateDistrictE.csv,0.868568569,0.679179179,0.866687677,0.97468579,4,3,STATE,YES,S,"Giessel, Cathy","Giessel, Cathy","Giessel, Cathy","Giessel, Cathy","Giessel, Cathy",0.485736207,0.443535773,0.042200434,0.042200434,0,3.744104297,1,[],no,
357,235,251,PierceCounty_11032009_CountyAuditor.csv,0.8927,0.5431,0.883464832,0.88539588,3,3,LOCAL,YES,O,Julie Anderson,Julie Anderson,Julie Anderson,Julie Anderson,Jan Shabro,0.59440683,0.443535773,0.556464227,0.556464227,0.40559316,2.880385725,1,"['IRV', 'Condorcet', 'Approval']",yes,
359,346,153,Alaska_08162022_HouseofRepresentativesSpecial.csv,0.8616,0.6461,0.887209784,0.96684176,4,3,FEDERAL,YES,R,"Peltola, Mary S.","Begich, Nick","Peltola, Mary S.","Begich, Nick","Begich, Nick",0.585043574,0.443535773,0.443535773,0.1415078,0.58504355,4.404676762,1,[],no,
362,362,0,Alaska_11052024_StateHouseD17.csv,1,1,,1,2,1,STATE,YES,R,F,"Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""",,,,,,,,,,,
363,363,1,Alaska_11052024_StateHouseD2.csv,1,1,,1,2,1,STATE,YES,R,H,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca",,,,,,,,,,,
364,364,2,Alaska_11052024_StateHouseD24.csv,1,1,,1,2,1,STATE,YES,R,S,"Saddler, Dan","Saddler, Dan","Saddler, Dan",,,,,,,,,,,
365,365,3,Alaska_11052024_StateHouseD25.csv,1,1,,1,2,1,STATE,YES,R,J,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.",,,,,,,,,,,
366,366,4,Alaska_11052024_StateHouseD26.csv,1,1,,1,2,1,STATE,YES,R,T,"Tilton, Cathy","Tilton, Cathy","Tilton, Cathy",,,,,,,,,,,
367,367,5,Alaska_11052024_StateHouseD29.csv,1,1,,1,2,1,STATE,YES,R,R,"Rauscher, George","Rauscher, George","Rauscher, George",,,,,,,,,,,
368,368,6,Alaska_11052024_StateHouseD3.csv,1,1,,1,2,1,STATE,YES,R,S,"Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""",,,,,,,,,,,
369,369,7,Alaska_11052024_StateHouseD33.csv,1,1,,1,2,1,STATE,YES,R,P,"Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""",,,,,,,,,,,
370,370,8,Alaska_11052024_StateHouseD4.csv,1,1,,1,2,1,STATE,YES,R,H,"Hannan, Sara","Hannan, Sara","Hannan, Sara",,,,,,,,,,,
371,371,9,Alaska_11052024_StateSenateB.csv,1,1,,1,2,1,STATE,YES,R,K,"Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse",,,,,,,,,,,
372,372,10,Alaska_11052024_StateSenateT.csv,1,1,,1,2,1,STATE,YES,R,O,"Olson, Donald C. ""Donny""","Olson, Donald C. ""Donny""","Olson, Donald C. ""Donny""",,,,,,,,,,,
374,374,12,Alaska_11052024_StateHouseD10.csv,1,1,,1,3,2,STATE,YES,R,"Kopp, Charles M. ""Chuck""","Kopp, Charles M. ""Chuck""","Kopp, Charles M. ""Chuck""","Kopp, Charles M. ""Chuck""","Kopp, Charles M. ""Chuck""",0,0.443535773,0.443535773,0.443535773,,6.30974777,,,,
375,375,13,Alaska_11052024_StateHouseD11.csv,1,1,,1,3,2,STATE,YES,R,"Coulombe, Julie","Coulombe, Julie","Coulombe, Julie","Coulombe, Julie","Featherly, Walter T.",0,0.443535773,0.556464227,0.556464227,,8.412001036,,,,
376,376,14,Alaska_11052024_StateHouseD12.csv,1,1,,1,3,2,STATE,YES,R,"Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.","Lurtsema, Joseph M. ""Joe""",0,0.443535773,0.556464227,0.556464227,,7.580916823,,,,
377,377,15,Alaska_11052024_StateHouseD13.csv,1,1,,1,3,2,STATE,YES,R,"Josephson, Andrew L. ""Andy""","Josephson, Andrew L. ""Andy""","Josephson, Andrew L. ""Andy""","Josephson, Andrew L. ""Andy""","Gottshall, Heather",0,0.443535773,0.556464227,0.556464227,,7.499096057,,,,
378,378,16,Alaska_11052024_StateHouseD14.csv,1,1,,1,3,2,STATE,YES,R,"Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.",0,0.443535773,0.443535773,0.443535773,,6.158801348,,,,
379,379,17,Alaska_11052024_StateHouseD16.csv,1,1,,1,3,2,STATE,YES,R,"Hall, Carolyn","Hall, Carolyn","Hall, Carolyn","Hall, Carolyn","Hall, Carolyn",0,0.443535773,0.443535773,0.443535773,,7.244899978,,,,
380,380,18,Alaska_11052024_StateHouseD18.csv,1,1,,1,3,2,STATE,YES,R,"Nelson, David","Nelson, David","Nelson, David","Nelson, David","Nelson, David",0,0.443535773,0.443535773,0.443535773,,7.920465175,,,,
381,381,19,Alaska_11052024_StateHouseD20.csv,1,1,,1,3,2,STATE,YES,R,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.",0,0.443535773,0.443535773,0.443535773,,7.172416117,,,,
382,382,20,Alaska_11052024_StateHouseD21.csv,1,1,,1,3,2,STATE,YES,R,"Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.",0,0.443535773,0.443535773,0.443535773,,8.107110418,,,,
383,383,21,Alaska_11052024_StateHouseD22.csv,1,1,,1,3,2,STATE,YES,R,"Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Wright, Stanley A.",0,0.443535773,0.556464227,0.556464227,,6.875174529,,,,
384,384,22,Alaska_11052024_StateHouseD23.csv,1,1,,1,3,2,STATE,YES,R,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Arlington, Jim",0,0.443535773,0.556464227,0.556464227,,8.482929595,,,,
385,385,23,Alaska_11052024_StateHouseD27.csv,1,1,,1,3,2,STATE,YES,R,"Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.",0,0.443535773,0.443535773,0.443535773,,6.532926816,,,,
386,386,24,Alaska_11052024_StateHouseD30.csv,1,1,,1,3,2,STATE,YES,R,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","Holmes, Doyle E.",0,0.443535773,0.556464227,0.556464227,,6.607666596,,,,
387,387,25,Alaska_11052024_StateHouseD31.csv,1,1,,1,3,2,STATE,YES,R,"Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.",0,0.443535773,0.443535773,0.443535773,,7.424499101,,,,
388,388,26,Alaska_11052024_StateHouseD32.csv,1,1,,1,3,2,STATE,YES,R,"Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Damron, Gary K.",0,0.443535773,0.556464227,0.556464227,,7.246339128,,,,
389,389,27,Alaska_11052024_StateHouseD34.csv,1,1,,1,3,2,STATE,YES,R,"Tomaszewski, Frank","Tomaszewski, Frank","Tomaszewski, Frank","Tomaszewski, Frank","Cottle, Joy ""Joy Beth""",0,0.443535773,0.556464227,0.556464227,,6.693983239,,,,
390,390,28,Alaska_11052024_StateHouseD35.csv,1,1,,1,3,2,STATE,YES,R,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","McNeill, Ruben A. Jr.",0,0.443535773,0.556464227,0.556464227,,8.401405068,,,,
391,391,29,Alaska_11052024_StateHouseD37.csv,1,1,,1,3,2,STATE,YES,R,"Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Deacon, Darren M.",0,0.443535773,0.556464227,0.556464227,,6.444763745,,,,
392,392,30,Alaska_11052024_StateHouseD39.csv,1,1,,1,3,2,STATE,YES,R,"Foster, Neal W.","Foster, Neal W.","Foster, Neal W.","Foster, Neal W.","Foster, Neal W.",0,0.443535773,0.443535773,0.443535773,,5.174545401,,,,
393,393,31,Alaska_11052024_StateHouseD5.csv,1,1,,1,3,2,STATE,YES,R,"Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.","Radner, Leighton",0,0.443535773,0.556464227,0.556464227,,7.8079079,,,,
394,394,32,Alaska_11052024_StateHouseD7.csv,1,1,,1,3,2,STATE,YES,R,"Ruffridge, Justin M.","Ruffridge, Justin M.","Ruffridge, Justin M.","Ruffridge, Justin M.","Gillham, Ronald D. ""Ron""",0,0.443535773,0.556464227,0.556464227,,6.814602572,,,,
395,395,33,Alaska_11052024_StateHouseD8.csv,1,1,,1,3,2,STATE,YES,R,"Elam, Bill","Elam, Bill","Elam, Bill","Elam, Bill","Hillyer, John",0,0.443535773,0.556464227,0.556464227,,6.412930457,,,,
396,396,34,Alaska_11052024_StateHouseD9.csv,1,1,,1,3,2,STATE,YES,R,"Holland, Ky","Holland, Ky","Holland, Ky","Holland, Ky","Holland, Ky",0,0.443535773,0.443535773,0.443535773,,8.554154326,,,,
397,397,35,Alaska_11052024_StateSenateH.csv,1,1,,1,3,2,STATE,YES,R,"Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt",0,0.443535773,0.443535773,0.443535773,,8.18834522,,,,
398,398,36,Alaska_11052024_StateSenateJ.csv,1,1,,1,3,2,STATE,YES,R,"Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest",0,0.443535773,0.443535773,0.443535773,,7.348458818,,,,
399,399,37,Alaska_11052024_StateSenateP.csv,1,1,,1,3,2,STATE,YES,R,"Kawasaki, Scott","Kawasaki, Scott","Kawasaki, Scott","Hajdukovich, Leslie W.","Kawasaki, Scott",0,0.443535773,0.443535773,0.443535773,,7.248521054,,,,
400,400,38,Alaska_11082022_HouseDistrict1.csv,1,1,,1,3,2,STATE,YES,R,"Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Bynum, Jeremy T.",0,0.443535773,0.556464227,0.556464227,0,6.588389221,1,[],no,
401,401,39,Alaska_11082022_HouseDistrict12.csv,1,1,,1,3,2,STATE,YES,R,"Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.",0,0.443535773,0.443535773,0.443535773,0,7.044188398,1,[],no,
402,402,40,Alaska_11082022_HouseDistrict13.csv,1,1,,1,3,2,STATE,YES,R,"Josephson, Andy","Josephson, Andy","Josephson, Andy","Josephson, Andy","Josephson, Andy",0,0.443535773,0.443535773,0.443535773,0,6.915809091,1,[],no,
403,403,41,Alaska_11082022_HouseDistrict14.csv,1,1,,1,3,2,STATE,YES,R,"Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.",0,0.443535773,0.443535773,0.443535773,0,7.244234916,1,[],no,
404,404,42,Alaska_11082022_HouseDistrict16.csv,1,1,,1,3,2,STATE,YES,R,"Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Vazquez, Liz",0,0.443535773,0.556464227,0.556464227,0,7.412481284,1,[],no,
405,405,43,Alaska_11082022_HouseDistrict17.csv,1,1,,1,3,2,STATE,YES,R,"Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""",0,0.443535773,0.443535773,0.443535773,0,4.558670354,1,[],no,
406,406,44,Alaska_11082022_HouseDistrict19.csv,1,1,,1,3,2,STATE,YES,R,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.",0,0.443535773,0.443535773,0.443535773,0,4.554490627,1,[],no,
407,407,45,Alaska_11082022_HouseDistrict2.csv,1,1,,1,3,2,STATE,YES,R,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Skaflestad, Kenny",0,0.443535773,0.556464227,0.556464227,0,7.101134397,1,[],no,
408,408,46,Alaska_11082022_HouseDistrict21.csv,1,1,,1,3,2,STATE,YES,R,"Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Wolfe, Forrest M.","Wolfe, Forrest M.",0,0.443535773,0.556464227,0.556464227,0,7.182324672,1,[],no,
409,409,47,Alaska_11082022_HouseDistrict22.csv,1,1,,1,3,2,STATE,YES,R,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Eischeid, Ted J.",0,0.443535773,0.556464227,0.556464227,0,6.630780004,1,[],no,
410,410,48,Alaska_11082022_HouseDistrict23.csv,1,1,,1,3,2,STATE,YES,R,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie",0,0.443535773,0.443535773,0.443535773,0,5.554335085,1,[],no,
411,411,49,Alaska_11082022_HouseDistrict25.csv,1,1,,1,3,2,STATE,YES,R,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.",0,0.443535773,0.443535773,0.443535773,0,5.189748978,1,[],no,
412,412,50,Alaska_11082022_HouseDistrict26.csv,1,1,,1,3,2,STATE,YES,R,"Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Stokes, Daniel L.",0,0.443535773,0.556464227,0.556464227,0,7.250131791,1,[],no,
413,413,51,Alaska_11082022_HouseDistrict29.csv,1,1,,1,3,2,STATE,YES,R,"Rauscher, George","Rauscher, George","Rauscher, George","Rauscher, George","Rauscher, George",0,0.443535773,0.443535773,0.443535773,0,6.90363253,1,[],no,
414,414,52,Alaska_11082022_HouseDistrict36.csv,1,1,,1,3,2,STATE,YES,R,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike",0,0.443535773,0.443535773,0.443535773,0,7.370505396,1,[],no,
415,415,53,Alaska_11082022_HouseDistrict39.csv,1,1,,1,3,2,STATE,YES,R,"Foster, Neal W.","Foster, Neal W.","Foster, Neal W.","Foster, Neal W.","Foster, Neal W.",0,0.443535773,0.443535773,0.443535773,0,4.47484538,1,[],no,
416,416,54,Alaska_11082022_HouseDistrict4.csv,1,1,,1,3,2,STATE,YES,R,"Hannan, Sara","Hannan, Sara","Hannan, Sara","Hannan, Sara","Hannan, Sara",0,0.443535773,0.443535773,0.443535773,0,6.765464589,1,[],no,
417,417,55,Alaska_11082022_HouseDistrict5.csv,1,1,,1,3,2,STATE,YES,R,"Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.","Vincent, Benjamin T.",0,0.443535773,0.556464227,0.556464227,0,5.843367694,1,[],no,
418,418,56,Alaska_11082022_HouseDistrict7.csv,1,1,,1,3,2,STATE,YES,R,"Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin","Gillham, Ronald D. ""Ron""",0,0.443535773,0.556464227,0.556464227,0,5.509555971,1,[],no,
419,419,57,Alaska_11082022_HouseDistrict9.csv,1,1,,1,3,2,STATE,YES,R,"Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.",0,0.443535773,0.443535773,0.443535773,0,7.736882182,1,[],no,
420,420,58,Alaska_11082022_SenateDistrictA.csv,1,1,,1,3,2,STATE,YES,S,"Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Sheldon, Mike",0,0.443535773,0.556464227,0.556464227,0,5.810725443,1,[],no,
421,421,59,Alaska_11082022_SenateDistrictF.csv,1,1,,1,3,2,STATE,YES,S,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.",0,0.443535773,0.443535773,0.443535773,0,7.393220054,1,[],no,
422,422,60,Alaska_11082022_SenateDistrictG.csv,1,1,,1,3,2,STATE,YES,S,"Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi","Sanders, Marcus D.",0,0.443535773,0.556464227,0.556464227,0,7.030030419,1,[],no,
423,423,61,Alaska_11082022_SenateDistrictH.csv,1,1,,1,3,2,STATE,YES,S,"Claman, Matt","Claman, Matt","Claman, Matt","Costello, Mia","Costello, Mia",0,0.443535773,0.556464227,0.556464227,0,7.114118292,1,[],no,
424,424,62,Alaska_11082022_SenateDistrictI.csv,1,1,,1,3,2,STATE,YES,S,"Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.",0,0.443535773,0.443535773,0.443535773,0,6.306945684,1,[],no,
425,425,63,Alaska_11082022_SenateDistrictK.csv,1,1,,1,3,2,STATE,YES,S,"Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill",0,0.443535773,0.443535773,0.443535773,0,6.975476394,1,[],no,
426,426,64,Alaska_11082022_SenateDistrictL.csv,1,1,,1,3,2,STATE,YES,S,"Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","McCarty, Ken",0,0.443535773,0.556464227,0.556464227,0,5.343956642,1,[],no,
427,427,65,Alaska_11082022_SenateDistrictM.csv,1,1,,1,3,2,STATE,YES,S,"Hughes, Shelley","Hughes, Shelley","Hughes, Shelley","Hughes, Shelley","Cooper, Jim",0,0.443535773,0.556464227,0.556464227,0,7.777290134,1,[],no,
428,428,66,Alaska_11082022_SenateDistrictO.csv,1,1,,1,3,2,STATE,YES,S,"Shower, Michael K.","Shower, Michael K.","Shower, Michael K.","Shower, Michael K.","Shower, Michael K.",0,0.443535773,0.443535773,0.443535773,0,5.147278669,1,[],no,
429,429,67,Alaska_11082022_SenateDistrictS.csv,1,1,,1,3,2,STATE,YES,S,"Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.",0,0.443535773,0.443535773,0.443535773,0,5.057273597,1,[],no,
440,440,78,Burlington_03072023_CityCouncilCentralDistrict.csv,1,1,,1,3,2,LOCAL,YES,R,MELO GRANT,MELO GRANT,MELO GRANT,MELO GRANT,AVERY MUZIKAR,0,0.443535773,0.556464227,0.556464227,0,4.615537299,1,[],no,
441,441,79,Burlington_03072023_CityCouncilEastDistrict.csv,1,1,,1,3,2,LOCAL,YES,R,"TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,0,0.443535773,0.556464227,0.556464227,0,4.603197762,1,[],no,
72,76,478,Wyoming_04172020_PRESIDENTOFTHEUNITEDSTATES.csv,0.1685,0.1627,0.386905644,0.73334634,5,9,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Elizabeth Warren,0.449306524,0.443535773,0.049746113,0.049746113,0,2.663425318,,[],no,
